	label	clstr	binF	txtF	txt	js	rust	md	json	img	lock	html
30517cb16aae33670e79bf33d7ece4937219f216	documentation	5	0	1	90	0	0	100	0	0	0	0
55bf0b0025a12c61d55dcf9a75467a42807f5e80	documentation	5	0	1	86	0	0	100	0	0	0	0
55bf0b0025a12c61d55dcf9a75467a42807f5e80	documentation	5	0	1	86	0	0	100	0	0	0	0
6781f58fe1c00e8ee64fd279b1196fe3132e3ad3	documentation	5	0	3	60	0	0	100	0	3	0	0
4d6f33b6f398447817e03e0e04eb1e83a6d8d61b	documentation	5	7	2	55	0	0	100	0	7	0	0
e5d7c2f4c4882032bfd98820ac5da1635cb475ce	documentation	5	0	1	51	0	0	100	0	0	0	0
65e54c22202b9bfc4011c77f81653862de8548da	documentation	5	0	3	45	0	0	100	0	0	0	0
160e9a29c156723fec134a50cc39fb2969f3eb81	documentation	5	0	1	40	0	0	100	0	0	0	0
ae8f93dba0d448f122145c24bedee52de09b92f0	documentation	5	0	2	35	0	0	100	0	0	0	0
0c270c551d580d8a55a106b5a925569dcb95f051	documentation	5	0	1	35	0	0	100	0	0	0	0
32f22a6f9afad5ea484f6fc4ab78622bb2ce9dd8	documentation	5	0	1	29	0	0	100	0	0	0	0
fd04a0524340bd86d87a5dfe882e40afcf9448f9	documentation	5	0	1	26	0	0	100	0	0	0	0
5aa7c6d33710ff1132cdd390fe8b71de26ba5dd0	documentation	5	0	1	22	0	0	100	0	0	0	0
bab83cebf04aefd62f6ef557b85d30b1ca1cfab1	documentation	5	0	1	21	0	0	100	0	0	0	0
280462e9fd5fe5519f428ece167bce7a1f041ee9	documentation	5	0	1	18	0	0	100	0	0	0	0
4fa9782b3b6da5c62856b5bdbceee7c85c9c4fec	documentation	5	0	1	15	0	0	100	0	0	0	0
53c6743f883deeb6e611a11c6c39b8a5bc2892f8	documentation	5	0	1	15	0	0	100	0	0	0	0
f06e938b1b4ee9b2146a99f4826559ec38ba4a0c	documentation	5	0	1	15	0	0	100	0	0	0	0
053b2167121fa74971afbbe98a8baf831be98394	documentation	5	1	1	12	0	0	100	0	1	0	0
ffc347d24772178ef45cd1b440eafdad8413d5ae	documentation	5	0	1	12	0	0	100	0	0	0	0
1e7cd1a47fe4f378284729da5e40708bda82ba96	documentation	5	0	1	10	0	0	100	0	0	0	0
89035ccc80daa63e7a5a58abac49aa1a78849a55	documentation	5	0	2	92	0	0	47.82	0	0	0	0
cc3403f7db5cfb71aecdae75fde114eba0d95a5c	documentation	5	0	2	71	0	0	74.64	25.35	0	0	0
94c88ceac82a069a1c6f81b3df7a088312ec815d	interface	6	0	1	483	0	0	0	0	0	0	100
6ca83b89689d5a9804e3ede80a70f1ee021e5386	interface	6	0	1	333	0	0	0	0	0	0	100
e705f01f76881b7c4308a5c1cc35ad9a28e6a513	interface	6	0	1	301	0	0	0	0	0	0	100
a301c1187f9b47f0384c8129eb67c7fb5a1b5a5d	interface	6	0	1	299	0	0	0	0	0	0	100
fd0db0950359c98a88f87edffc5c5ab62d32653a	interface	4	0	6	228	61.4	0	0	0	0	0	28.5
ead0db5a50d7aa4916d9a4305aacbf64d9ecfd3f	interface	6	0	1	173	0	0	0	0	0	0	100
ed17722513e1989f878eb5ca0be744278671d573	interface	6	0	1	166	0	0	0	0	0	0	100
826fc3e63ecdbf741efbc29a6026cbea11493e17	interface	6	0	1	147	0	0	0	0	0	0	100
5b083d504dadae5b265c4eec8a485052a93bb6b9	interface	6	0	1	143	0	0	0	0	0	0	100
3ff933cd2ffaeb87b9e6a1231d424d17bd4e98a0	interface	6	0	1	141	0	0	0	0	0	0	100
5d8fe5948d78c4154cd5ee13a9b111f2fd95365a	interface	4	0	4	129	85.27	0	0	0	0	0	14.72
6a5f8f2ac71a7af723155a97024918ba6e480250	interface	6	0	1	118	0	0	0	0	0	0	100
835afd252f10b5028b213d444cb7a80577e9b4d2	interface	6	0	1	70	0	0	0	0	0	0	100
cc0b855c483379aeabd86831f1956a7d07f9413d	interface	4	0	2	67	59.7	0	0	0	0	0	40.29
b26aff4010058b9ee32534ccbe2f722dbaae3353	interface	4	0	25	54	66.66	0	3.7	3.7	0	0	25.92
35a95e8d4533b6cb9aabbf0dfca6cd8713342348	interface	6	0	1	52	0	0	0	0	0	0	100
4fa6a723526b819f955ff95c13b2b06777154f11	interface	6	0	1	52	0	0	0	0	0	0	100
c87d01640ada37483af7faef5cd3b3b513f4dbc9	interface	6	0	1	51	0	0	0	0	0	0	100
f8931022e1cc491ad9c8a39a50fc9c777ddf670b	interface	6	0	1	51	0	0	0	0	0	0	100
144e979703ae8f2aac594119dd34e0f84faa9ec7	interface	6	0	1	51	0	0	0	0	0	0	100
3b62af6b2c312d556f98534a4887a0740520bf81	interface	6	0	1	48	0	0	0	0	0	0	100
6072296b89d9ad8391c7ebb564af1bb0170cf036	interface	6	0	1	47	0	0	0	0	0	0	100
aee11ee0091e6835bb7413937ed8499b1d54aa92	interface	4	0	23	46	78.26	0	0	0	0	0	21.73
8eeb28bd6839d4f0f4cf10ccc6295504d1fbdb60	interface	6	0	1	38	0	0	0	0	0	0	100
be73621f82ef676e7652c742d3b3d6269d15f5af	interface	6	0	1	37	0	0	0	0	0	0	100
2f057b3da3b346a33c6b9951f127e2b65f83c59d	interface	6	0	1	36	0	0	0	0	0	0	100
9345680dfbc9e8ae961f60f4f9ab1e6255dadf7c	interface	6	0	1	35	0	0	0	0	0	0	100
e7b83069cc31a9f73126fb3717554ebf617be763	interface	6	0	2	30	13.33	0	0	0	0	0	86.66
03b646b5363f73023f8fea34a89d03fe0a324c30	interface	6	0	1	29	0	0	0	0	0	0	100
e101beb434fedf82f29ee497ef41b0ba6840a4dc	interface	6	0	1	21	0	0	0	0	0	0	100
d6e712d740f4642446c3ba7379ec8d9500253183	interface	6	0	3	19	47.36	0	0	0	0	0	52.63
5dc17574172270499b496834fa8734783b2025b1	interface	6	0	1	19	0	0	0	0	0	0	100
e56f8e10e2e7dac5576fbe7804c679c806909673	interface	6	0	1	19	0	0	0	0	0	0	100
9689f640e264e6d95d0bf96d0108a46445d889b0	interface	4	0	2	17	88.23	0	0	0	0	0	11.76
0cb907b54fea40fac408121a0b194cc0b82500d1	interface	6	0	2	16	25	0	0	0	0	0	75
7748e4ec0bfb1a1a066d3ed469cabeb4ae921d48	interface	6	0	1	16	0	0	0	0	0	0	100
4c6fdb0bf7e4154e3887d133f96f1e48f7d1a943	interface	6	0	2	15	13.33	0	0	0	0	0	86.66
f834f102c9e5b74719a56879b5b7261a11d81087	interface	6	0	1	14	0	0	0	0	0	0	100
b6224e591d6559d970d52d9eee98265257266a19	interface	6	0	2	13	30.76	0	0	0	0	0	69.23
b10a5965d9aa94e4e8131ce7b0e7057d4055f4ad	interface	6	0	1	13	0	0	0	0	0	0	100
f2c4d5b2674e711ac7c333870657c26743721b2b	interface	6	0	1	12	0	0	0	0	0	0	100
5bce4deae7cff2bc4b8ebb6f4fe6e8edc415569f	interface	6	0	1	11	0	0	0	0	0	0	100
4335300422ba04800d3360359c572cc11ed33970	javascript	4	0	1	742	100	0	0	0	0	0	0
aa8ace73d36fb5ce2a81f793cbdc485d36b21086	javascript	4	0	1	681	100	0	0	0	0	0	0
fb27686429d623cabddb8f9285a18e422bec5742	javascript	4	0	1	504	100	0	0	0	0	0	0
35885daeef15e38d72de0dd54d0ac3c58016a50a	javascript	4	0	4	368	98.91	0	0	0	0	0	0
6bcb3e81e8bfda71e4d33a78558f6ff01c3c2b83	javascript	4	0	1	309	100	0	0	0	0	0	0
1f061c8e64e2953d0f07d91271b64776c2c55e88	javascript	4	0	1	200	100	0	0	0	0	0	0
a31b59834eeab65d3ae7ba73e91fd1eede7c6696	javascript	4	0	9	199	86.93	0	0	13.06	0	0	0
5010f0ea90325e18ad5cb41513caf45efb072023	javascript	4	0	16	174	96.55	0	0	1.14	0	0	0
c3603d9be984dd5791d9de48ac38cfa68372e0fa	javascript	4	1	7	171	49.12	7.01	1.16	3.5	0	0	0
b4bc3dd6dcaeefa57d2c28f76fc9e1374acf3f02	javascript	4	0	3	165	100	0	0	0	0	0	0
a92dcb74b696c13b93a56703adbba0924909f314	javascript	4	0	9	156	100	0	0	0	0	0	0
84887c51e303aa8b656cc41bb9e930abf3550fe3	javascript	4	0	7	147	80.27	0	17.68	2.04	0	0	0
6df45543cfd969f8644fe66e0ec96933ec212d56	javascript	4	0	7	141	97.16	0	0	0	0	0	2.83
98f9ca80baefbad87bfec1bc595fcb145320bedf	javascript	4	0	4	131	100	0	0	0	0	0	0
b56b811553f6c86c9072f95206920f0583dff8e3	javascript	4	0	1	109	100	0	0	0	0	0	0
a215a4d87f00f1b253a6b6631fbb1fce73bb954c	javascript	4	0	1	100	100	0	0	0	0	0	0
9c775f527674eed1ce9be9d8f6a11bd05bca7c1b	javascript	4	0	8	88	63.63	0	36.36	0	0	0	0
184f2ef47ce4f7fc9271ceef72103a5fc53748ad	javascript	4	0	6	55	90.9	0	0	0	0	0	9.09
8a74269680352a9c023fc214887479b899b9112c	javascript	4	0	1	48	100	0	0	0	0	0	0
70479e364a54ad2325a4f1eeb9c34d2c81e621a0	javascript	4	0	4	46	97.82	0	0	2.17	0	0	0
e77394ec782761365776cd6a17946b1780fcccca	javascript	4	0	2	43	100	0	0	0	0	0	0
bb36e6c3d069b24e9f6f2bfedd5b21ecc9901624	javascript	4	0	2	28	100	0	0	0	0	0	0
fb528905fb6448e2b502f7de8fba877a2a995f6d	javascript	4	0	2	26	100	0	0	0	0	0	0
9746e2406ba34efc90fc385e238dffc68fd843e5	javascript	4	0	1	26	100	0	0	0	0	0	0
59bce630581578ed9b1c303d34ee349d0ec0be2d	javascript	4	0	1	26	100	0	0	0	0	0	0
448e74711292cce58f0d055403917af684514221	javascript	4	0	2	17	76.47	0	23.52	0	0	0	0
edff3861fdf345a38a4545a13fc428ef0b0ff6a3	javascript	4	0	1	13	100	0	0	0	0	0	0
999de2e0262ee5c4a6a9d3014dd4cc56cc059ea2	javascript	4	0	2	11	100	0	0	0	0	0	0
