"owner","repo_name","java_commits"
"Kovalevskyi-Academy","testing-framework","223"
"KovuTheHusky","dynmap-structures","88"
"Kraisie","SeriesTracker","870"
"KronicDeth","intellij-elixir","12433"
"Kryniowesegryderiusz","KGenerators","1014"
"KuguHome","openhab-binding-wmbus","773"
"Kyash","validatable-textinput-layout","10"
"KylinUI","android_packages_apps_Apollo","861"
"KyoriPowered","adventure-platform","1384"
"L4mb0","Address-group-ii","306"
"LFC6times","Fabric-NMTQ","17"
"LUISURBM","cassandra-astrax","529"
"Lacerte","clima","4"
"LarWong","Casa-de-Java","9"
"LeeHuiJu","Algorithm","299"
"LeoFalco","Cep4j","350"
"LieAlbertTriAdrian","TubesAI2","116"
"Lilyl03","JavaLvl1","684"
"LinWanCen","show-comment","294"
"LineageOS","android_packages_apps_Eleven","2713"
"LinkRulz","jfeaturelib","1074"
"LinuxForHealth","hl7v2-fhir-converter","2762"
"LiuWk","nepenthe","172"
"Lizard-Of-Oz","Inventorio","194"
"LogSentinel","logsentinel-java-client","721"
"LorenzoBettini","javamm","544"
"LorenzoBettini","jbase","249"
"LuffyCMonkey","java-stellar-sdk","1075"
"LukasMirbt","calendar","2"
"LukeLR","TGPro","565"
"Lummy86","interviews","667"
"LupoBot","LupoBot","894"
"MCImaginarium","Thermos-Bukkit","5334"
"METAcraft-KTH","wilderness-loot-spawn","68"
"MGrin","p2p-mapreduce","968"
"MSU-CS3250-DreamTeam","Database","427"
"Machine-Maker","Paper-Merged","23035"
"Madara9744","feign","1994"
"Madara9744","scribejava","3989"
"MadhavSaladi","android_packages_apps_Eleven","1982"
"MalluOS","android_packages_apps_Eleven","2611"
"ManatiCR","manati-vm","2"
"Manojtuguru","artifactory-java-client","1487"
"Mantouidev","k_packages_apps_Apollo","861"
"Marcono1234","codeql-java-queries","91"
"MariiaMik","myJpetStore","202"
"MarkL4YG","confort","245"
"MartinSteffen","pest","1962"
"MartyAlana","OpenPixelmon","732"
"Matthew-Han","leetcode","2276"
"MatthewSzarek","mp1","3122"
"MayMeow","miyuki-mastodon","2883"
"Meaglin","Buck---It","3623"
"Meeds-io","meeds","32"
"Mercateo","rest-schemagen","613"
"MewX","light-novel-library_Wenku8_Android","1685"
"MiSuryawanshi","CI_PIPELINE_POC","224"
"MichaelRocks","paranoid","39"
"MiniDNS","minidns","2691"
"MixinNetwork","bot-api-kotlin-client","57"
"MoKee","android_device_sony_odin","3"
"MoKee","android_packages_apps_Apollo","889"
"MoKee","android_packages_apps_DeskClock","1133"
"MoKee","android_packages_services_Telephony","572"
"MobileApps-Cascadia","pollinator-pathway-android","369"
"ModernGamingWorlds-Mods","Wooden-Utilities","271"
"Moesif","moesif-servlet","127"
"MovingBlocks","TerasologyLauncher","1500"
"MrMicky-FR","WorldEditSelectionVisualizer","542"
"MyEssentials","MyEssentials-Core","982"
"MyEssentials","MyPermissions","338"
"MyEssentials","MyTown2","6795"
"NEWBEE108","interviews","832"
"NLPchina","elasticsearch-analysis-ansj","274"
"Nastel","TNT4J","3046"
"Neamar","CineTime","590"
"NeoSOFT-Technologies","search-as-a-service-egress-clientlib","326"
"Neolas67","Group14App","259"
"Netflix","Priam","4052"
"Netflix","astyanax","5028"
"Netflix","dgs-codegen","21"
"Netflix","zuul","2388"
"NextFire-n7","yuru-new-horizons","555"
"NijeboerFrank","presto-tezos","448"
"NimitzDEV","android_packages_apps_Apollo","879"
"Nirzak","Bitcoin-Price-Prediction-Using-Machine-Learning","2828"
"NoahBres","MeepMeep","7"
"NordicSemiconductor","Android-BLE-Library","1113"
"NordicSemiconductor","Android-nRF-Mesh-Library","8112"
"Nuku","Flexible-Survival","1"
"Nursultan25","interviews","2828"
"NynkevK","TOSAD2017","438"
"OlehKSS","automatedMassDetection","20"
"OmniLayer","OmniJ","925"
"OneBusAway","onebusaway-android","3390"
"OneBusAway","onebusaway-gtfs-modules","1778"
"Oni-Men","ExtendTheLow","316"
"OpenAPITools","openapi-diff","1253"
"OpenGamma","Strata","37396"
"OpenHFT","Chronicle-Threads","1114"
"OpenHFT","Java-Runtime-Compiler","103"
"OpenHFT","Zero-Allocation-Hashing","175"
"OpenJML","Specs","15"
"OpenLiberty","guide-kubernetes-microprofile-config","103"
"OpenLiberty","guide-microprofile-opentracing-jaeger","283"
"OpenLiberty","guide-microprofile-reactive-messaging-acknowledgment","229"
"OpenLiberty","guide-rest-intro","26"
"OpenLiberty","guide-security-intro","357"
"OpenSilk","Orpheus","11218"
"OpenTracksApp","OSMDashboard","357"
"OpenZoo","zima","908"
"OrangeWallet","orange-wallet-mobile","2"
"OyaToshiki","LineChatBot","1303"
"PAC-ROM","android_packages_apps_Eleven","1967"
"Pamelloes","SpoutPluginAPI","2322"
"PaperMC","Paper","10"
"ParasKumar","jfeaturelib","1075"
"PascalDierich","PopularMoviesStage2","634"
"PasqualeMoramarco","Open-Liberty_poc","266"
"PatilShreyas","NotyKT","1"
"Pattriarch","sfg-pet-clinic","158"
"Payal-Setiya","junit-plugin","645"
"Peter-Maguire","Superstore-Tycoon","443"
"PeterGorlov","github-homework","541"
"PhillMue","VidView","890"
"PiotrR","amu_automata_2011","2940"
"PiyushMishra","jarjar","563"
"PlaceholderAPI","PlaceholderAPI","898"
"PlayBoyFly","modelmapper","1902"
"PlytonRexus","silver-spork","151"
"PokeMate","backend","223"
"Polynomeer","ProblemSolving","541"
"PouriaYazdani","ApMiniProject","479"
"Pragmatists","city-office-numbers","461"
"Praqma","memory-map-plugin","415"
"ProAndroid-Firmwares","packages_apps_Eleven","1975"
"ProNoob1029","FTC-Freight-Frenzy-Scorer","147"
"ProgAndAndWebDev","NewPipe","5913"
"Project-Will-Pub","jpubspec","194"
"ProjectMAXS","maxs","2060"
"ProjectNewWorld","android_packages_apps_Eleven","1975"
"ProyectUmbrela","AppIHunt","2"
"PtitNoony","timelinefx","450"
"Pyalicious","a1","3998"
"Pyalicious","aaaa","4094"
"QuantumBadger","RedReader","5423"
"RHEcosystemAppEng","rhpam-deployment","3"
"RS485","LogisticsPipes","22748"
"RSchuri01","globalPlatformPro","1094"
"Rahul-Kaura","AutoRoutine","203"
"Ramananaidu","Kubernetes-DokcerImage-Push-ACR","2368"
"RanolP","RatTranslate","331"
"Raphoulfifou","CyanLib","13"
"Rasika-Deodhar","LeetCode","163"
"Rasmus-M","magellan","360"
"Razor-Developers","android_packages_apps_Apollo","862"
"ReactiveX","RxAndroid","1056"
"RedHatQE","ssh-tools","341"
"ReeceASharp","Shridoop","669"
"RestComm","jain-sip","1234"
"RestComm","jain-sip.ha","734"
"RestComm","sipunit","408"
"RetroMusicPlayer","RetroMusicPlayer","4205"
"RevenueCat","purchases-android","473"
"RevenueCat","purchases-flutter","96"
"RobMandelings","RuneliteFullScreen","23898"
"Roka0304","Ronny1","275"
"Roshan-Dehankar","JAVA","88"
"Rothes","ProtocolStringReplacer","971"
"RurioLuca","PermissionManager","86"
"RxReader","tencent_kit","26"
"Rxyanlaw","Java-Decompiler","8687"
"RyukerLiu","heroku-line-bot","2088"
"SAKTHISIVANI18","sonarcoverage","202"
"SAKTHISIVANI18","sonarserver","202"
"SHANMUGASUNDARAMCR","Jpetstore","250"
"SI3P","supWSD","589"
"SOBotics","UserStalker","155"
"SOKP","packages_apps_Eleven","1865"
"STAMP-project","authzforce-core","2301"
"SURA907","sura-test-svg","309"
"Sage-Bionetworks","MindKind-Android","507"
"Sage-Bionetworks","Synapse-Repository-Services","24560"
"Sage-Bionetworks","synapse-login-scipool","191"
"Saico1337","runelite","24761"
"SaltyNote","saltynote-service","467"
"Samarium150","StructuresCompass","157"
"SapuSeven","BetterUntis","93"
"SarthakKeshari","Java-Questions-and-Solutions","320"
"SayaliPatiil","newpipee","5994"
"SayaliPatiil","remotescan1","2137"
"ScreamingHawk","fate-sheets","272"
"SeMoNeX","Naruto","345"
"SeaWithHill","itext7","22479"
"SeasideSt","Seaside","42"
"SebastianKotewitz","FlutterBlueEmptyFilter","176"
"SebastianKotewitz","FlutterBlue_background","175"
"SelimHorri","atic-backend-app","585"
"SenshiRoll","Instant-sorting-fix","27"
"SerCeMan","jnr-fuse","254"
"Shai-SAST","Easybuggy","928"
"Sharushanker","interview-tips","832"
"ShehanAT","AndroidMiniProjects","124"
"ShengJun-Yu","studyProjects","344"
"Shmily-GLJ","influxdb","1196"
"ShoOgino","jgitFile","948"
"ShoOgino","poiFile","40014"
"Shrenil19","BrainyPhonics","75"
"ShubhankarKG","FlutterTutorial","25"
"Shumuganathan","Test","252"
"SiX-ROM","platform_packages_apps_Eleven","1975"
"SiXROM-OREO","packages_apps_Eleven","1975"
"SiggiIO","NBTTool","786"
"SilverBlog","silverblog_android","473"
"SimpleAppProjects","SimpleWear","265"
"SimpleMobileTools","Simple-App-Launcher","6"
"SimpleMobileTools","Simple-Draw","159"
"SimpleMobileTools","Simple-Gallery","578"
"SkinsRestorer","SkinsRestorerX","3933"
"SlimRoms","device_sony_yuga","3"
"SliverySky","jsoup_fix","2402"
"Slowpoke101","FTBLaunch","4122"
"Sma1lboy","Leetcode","241"
"SonarSource","sslr","10249"
"SongXueZhi","derby","20176"
"SonicCloudOrg","sonic-server","2179"
"Spark-Rom","packages_providers_DownloadProvider","213"
"Spikes-2212-Programming-Guild","SpikesLib2","837"
"SpongePowered","Sponge","65242"
"SpoutDev","Vanilla","26901"
"SpringOnePlatform2016","spring-data-gemfire-in-action","254"
"Stealth-Robotics","Stealth2022","654"
"Stefan-Humpelstetter","sem","246"
"StevenChina","HikariCP","4189"
"SteversIO","appengine-springboot-gradle","322"
"StoriqaTeam","wallet-android","31"
"Strandber9","spring-boot-starter","664"
"Sublimis","UrbanBiker","8"
"Sulfurixar","brewery","52"
"SulochanaGali","jenkinsdeclarative","645"
"SunitRoy2703","Tensorflow-lite-kotlin-samples","15"
"Sup456","Minecart","306"
"SuperRonanCraft","BetterRTP","1533"
"SureshKumar-98","suresh","11"
"SwiftlyAside","NormalPlayer","251"
"TBog","TBLauncher","2411"
"TEAM-RAZOR","packages_apps_Eleven","1869"
"TMRGZ","TFG-Radar-COVID-Android","537"
"TOGoS","ContentCouch3","717"
"TP101356","notes","534"
"TR-TECH-GUIDE","Apktool","4922"
"TRINK8T","packages_apps_Eleven","2711"
"TabooLib","chemdah","3"
"Team488","SeriouslyCommonLib","2339"
"TeamEOS","packages_apps_Eleven","1866"
"TeamGlade-Devices","android_device_sony_yuga","1"
"TeamHorizon","android_device_sony_odin","2"
"TeamOpenIndustry","ImmersiveRailroadingIntegration","137"
"TeamOpenIndustry","UniversalModCore","1589"
"TecCheck","TG-Vertretung","634"
"TechReborn","RebornCore","6984"
"Terasology","Hunger","135"
"Terasology","Sample","377"
"TeslaProject","device_sony_yuga","1"
"TheBlackEntity","ServerSystem","1142"
"TheBlueKingLP","craftbukkit","11960"
"TheCount","pairs","137"
"TheHolyWaffle","TeamSpeak-3-Java-API","1392"
"TheMarstonConnell","randomlootmod","731"
"ThePeak-MC","SpongeForge","4661"
"ThePrez","DCM-tools","225"
"TheRoddyWMS","BatchEuphoria","167"
"TheRoddyWMS","RoddyToolLib","31"
"TheSpeedCubing","speedcubingLib","355"
