"owner","repo_name","scala_commits"
"aniketrangnekar","Framework","742"
"xiongsongsong","c9","9"
"ConsenSys","orion","7"
"PanicJaw","Flink_Exp","22146"
"AartiGorade","iotx","27996"
"makenowjust-labs","recheck","2649"
"sireum","air","318"
"wan9c9","quantaxis_copy","8"
"squeryl","squeryl","1935"
"apache","logging-log4j2","156"
"smtcrms","pulsar","4"
"jaynblue","AllJavaTutorials","31"
"ToToTec","CmdOption","100"
"djspiewak","anti-xml","730"
"juliusvonkohout","pipelines-namespace-isolation","12"
"gaogf","https-github.com-apache-spark","26866"
"TU-Berlin-DIMA","sage-flink","6826"
"seraphr","narou-tools","324"
"sainatha123","Scala-Maven","1364"
"nscala-time","nscala-time","433"
"arfacamble","gilded-wose","10"
"guillaume8080","InversionDeControle","6"
"com-lihaoyi","os-lib","554"
"xeoneux","30-Days-of-Code","17"
"TOSHIBA223","code-problems","3"
"xinfei2020","geoserver4","36"
"jacklesplat","ql_emc_statsd","1"
"algorithm-archivists","algorithm-archive","11"
"lanshuijuntuan","Java.util","1857"
"zenware","FizzBuzz","3"
"rbellannagari","jfrogjenkins","2"
"fridujo","rabbitmq-mock","2"
"huawei-noah","streamDM","806"
"PallaviVedpathak","Hello_World_Testing","12"
"gicLAB","tvm-GSPC","308"
"benknoble","junk-drawer","4"
"oap-project","remote-shuffle","4851"
"msgpack4z","msgpack4z-native","136"
"raquo","Laminar","1333"
"PDAL","PDAL","57"
"kputnam","stupidedi","54"
"vruusmann","blog","3"
"ihocher","GuildedRose-Refactoring-Kata","10"
"ibokuri","zig-by-example","9"
"scalacenter","scalajs-bundler","478"
"KnothHe","redis-5.0","44"
"uchuugaka","pygments","595"
"openzipkin-attic","docker-zipkin","3"
"rlrobles","ProjecMAtifactory","2"
"pratikfegade","cora","137"
"jensandrae","OpenAPI-Specification","88"
"MaterializeInc","pgjdbc","3"
"creativescala","doodle","1282"
"scala","scala-rewrites","312"
"juliapersian","julia","2"
"jonatan-ivanov","resourceater","7"
"lightbend","sbt-paradox-apidoc","156"
"ram100RAM","java","2"
"nikosnikolaidis","pulsar","4"
"hans-lizihan","js-benchmark","32"
"voyages-sncf-technologies","hesperides","31"
"jconway325","algo_repo","3"
"Eureka1996","flink","23696"
"gaoyike","flink_local","4748"
"ruippeixotog","scala-scraper","535"
"twitter","chill","917"
"typelevel","kind-projector","75"
"BigWii","hbase-src","297"
"elixir-europe","BioHackathon","61"
"felixmulder","felixmulder.github.io","67"
"mitra-anirban","devops","11"
"debasishg","scala-redis","939"
"dwestheide","kontextfrei","305"
"armanbilge","schrodinger","736"
"rubenvidalcss","test-gamma-postgresjdbc","1"
"wartremover","wartremover","1418"
"sumkincpp","CodeTest","32"
"OpenBankProject","OBP-API","26295"
"Happy0","wordify-webapp","20"
"Mywk18","https-github.com-microsoft-sql-server-samples","9"
"BryantChang","BryantChang_Spark","27583"
"Rahul-tcs","C-Program-Files-Git-workspace","3"
"jsalmat0910","escenario2","2"
"ctc-oss","omega-edit","132"
"xtonousou","xtonousou.github.io","4"
"ruippeixotog","advent-of-code","3"
"gfc-collective","gfc-logging","12"
"ehnryx","acm","2"
"camilocastellanosg","SDLF","3"
"retana","Tutoriales","31"
"oap-project","pmem-spill","4749"
"hengwei-chan","openbabel","1"
"deanwampler","programming-scala-book-code-examples","4453"
"guardian","amigo","811"
"gilyas","serverless","11"
"Balaji-P","artifactory-project-examples","2"
"chirino","amqp-benchmark","126"
"marcuskd","bokeh","67"
"dnadales","sandbox","9"
"fusons","spark","25098"
"snowplow","snowplow-elasticsearch-loader","895"
"zzvara","spark-dynamic","30438"
"keyboard-clacker","Juliet","6"
"http4s","http4s-dom","122"
"JonJagger","cyber-dojo","39"
"sheida1","sheida1","11"
"sailfishos-mirror","shared-mime-info","3"
"fakeNetflix","twitter-repo-scrooge","1886"
"and3rson","dotfiles","2"
"jorkey","vm-update","6151"
"4630599","ng-cordova","2"
"apache","clerezza","1809"
"flix","flix","19700"
"argonaut-io","argonaut-monocle1","2275"
"SpaceVim","SpaceVim","12"
"wenxcsstore","tvm.dx","308"
"7b3cbaf1","ASDAAA","27318"
"apache","doris","35"
"jeymer","lazy-cypher-old","134515"
"bigdatagenomics","adam","4870"
"seratch","notion-sdk-jvm","16"
"fnreality","asmgraph","14"
"whyDK37","kafka_source","12338"
"metabookmarks","sbt-plantuml-plugin","9"
"hmrc","self-assessment-api","1542"
"MatStill-mmu","SQL","2"
"pujabgl","API","9"
"BijinaSafiyaa","djl-demo-imran","23"
"LabinotVila","intelli-dota","286"
"eliben","pss","1"
"gaogf","spark","27260"
"kelvins","Algoritmos-e-Estruturas-de-Dados","16"
"canlzz","leetcode","17"
"aidanwhiteley","books","9"
"nrinaudo","kantan.csv","4143"
"tkwmtm","C9","9"
"WayofTime","BloodMagic","4"
"runtimeverification","k","393"
"playframework","play-ws","1131"
"risenforward","itspixie","15529"
"project-sunbird","knowledge-platform-jobs","4156"
"yinweiwen","study","28"
"linkedin","cruise-control","22"
"siddhi-io","siddhi","8"
"kikofernandez","kikofernandez.github.io","9"
"Dwolla","scala-cloudflare","516"
"panchograblev","gilded-rose-kata","6"
"TiberoClient","jdbcconnector","73"
"liufengyun","dotty","69633"
"GoogleCloudDataproc","spark-bigquery-connector","682"
